design_series|field|batch
LMFBR|number_of_turbines|specs_08.psv
Monju|thermal_power_mwth|specs_08.psv
Monju|fuel_type|specs_08.psv
Monju|coolant|specs_08.psv
Monju|number_of_coolant_loops|specs_08.psv
Monju|core_height_m|specs_08.psv
Monju|core_diameter_m|specs_08.psv
Monju|number_of_fuel_assemblies|specs_08.psv
Monju|number_of_control_elements|specs_08.psv
Monju|outlet_temperature_c|specs_08.psv
Monju|inlet_temperature_c|specs_08.psv
Monju|number_of_steam_generators|specs_08.psv
Monju|fuel_assembly_type|specs_08.psv
Monju|average_burnup_mwd_per_t|specs_08.psv
Monju|number_of_turbines|specs_08.psv
Monju|low_pressure_sections|specs_08.psv
PFR|thermal_power_mwth|specs_08.psv
PFR|fuel_type|specs_08.psv
PFR|coolant|specs_08.psv
PFR|number_of_coolant_loops|specs_08.psv
PFR|outlet_temperature_c|specs_08.psv
PFR|inlet_temperature_c|specs_08.psv
PFR|number_of_steam_generators|specs_08.psv
PFR|fuel_assembly_type|specs_08.psv
PFR|number_of_turbines|specs_08.psv
PFR|turbine_speed_rpm|specs_08.psv
PFR|low_pressure_sections|specs_08.psv
Phenix|thermal_power_mwth|specs_08.psv
Phenix|fuel_type|specs_08.psv
Phenix|coolant|specs_08.psv
Phenix|number_of_coolant_loops|specs_08.psv
Phenix|core_height_m|specs_08.psv
Phenix|core_diameter_m|specs_08.psv
Phenix|number_of_fuel_assemblies|specs_08.psv
Phenix|number_of_control_elements|specs_08.psv
Phenix|outlet_temperature_c|specs_08.psv
Phenix|inlet_temperature_c|specs_08.psv
Phenix|number_of_steam_generators|specs_08.psv
Phenix|fuel_assembly_type|specs_08.psv
Phenix|average_burnup_mwd_per_t|specs_08.psv
Phenix|number_of_turbines|specs_08.psv
Phenix|turbine_speed_rpm|specs_08.psv
Phenix|low_pressure_sections|specs_08.psv
SGR|fuel_type|specs_08.psv
SGR|coolant|specs_08.psv
SGR|number_of_turbines|specs_08.psv
Super-Phenix|thermal_power_mwth|specs_08.psv
Super-Phenix|fuel_type|specs_08.psv
Super-Phenix|coolant|specs_08.psv
Super-Phenix|number_of_coolant_loops|specs_08.psv
Super-Phenix|core_height_m|specs_08.psv
Super-Phenix|core_diameter_m|specs_08.psv
Super-Phenix|number_of_fuel_assemblies|specs_08.psv
Super-Phenix|number_of_control_elements|specs_08.psv
Super-Phenix|outlet_temperature_c|specs_08.psv
Super-Phenix|inlet_temperature_c|specs_08.psv
Super-Phenix|number_of_steam_generators|specs_08.psv
Super-Phenix|fuel_assembly_type|specs_08.psv
Super-Phenix|average_burnup_mwd_per_t|specs_08.psv
Super-Phenix|number_of_turbines|specs_08.psv
Super-Phenix|turbine_speed_rpm|specs_08.psv
Super-Phenix|low_pressure_sections|specs_08.psv
AVR|thermal_power_mwth|specs_08.psv
AVR|fuel_type|specs_08.psv
AVR|moderator|specs_08.psv
AVR|coolant|specs_08.psv
AVR|number_of_coolant_loops|specs_08.psv
AVR|operating_pressure_bar|specs_08.psv
AVR|enrichment_pct|specs_08.psv
AVR|core_height_m|specs_08.psv
AVR|core_diameter_m|specs_08.psv
AVR|number_of_control_elements|specs_08.psv
AVR|outlet_temperature_c|specs_08.psv
AVR|inlet_temperature_c|specs_08.psv
AVR|number_of_steam_generators|specs_08.psv
AVR|fuel_assembly_type|specs_08.psv
AVR|number_of_turbines|specs_08.psv
AVR|turbine_speed_rpm|specs_08.psv
Fort St. Vrain|thermal_power_mwth|specs_08.psv
Fort St. Vrain|fuel_type|specs_08.psv
Fort St. Vrain|moderator|specs_08.psv
Fort St. Vrain|coolant|specs_08.psv
Fort St. Vrain|number_of_coolant_loops|specs_08.psv
Fort St. Vrain|operating_pressure_bar|specs_08.psv
Fort St. Vrain|enrichment_pct|specs_08.psv
Fort St. Vrain|core_height_m|specs_08.psv
Fort St. Vrain|core_diameter_m|specs_08.psv
Fort St. Vrain|number_of_fuel_assemblies|specs_08.psv
Fort St. Vrain|number_of_control_elements|specs_08.psv
Fort St. Vrain|outlet_temperature_c|specs_08.psv
Fort St. Vrain|inlet_temperature_c|specs_08.psv
Fort St. Vrain|number_of_steam_generators|specs_08.psv
Fort St. Vrain|fuel_assembly_type|specs_08.psv
Fort St. Vrain|average_burnup_mwd_per_t|specs_08.psv
Fort St. Vrain|number_of_turbines|specs_08.psv
Fort St. Vrain|turbine_speed_rpm|specs_08.psv
Fort St. Vrain|low_pressure_sections|specs_08.psv
HTR-PM|thermal_power_mwth|specs_08.psv
HTR-PM|fuel_type|specs_08.psv
HTR-PM|moderator|specs_08.psv
HTR-PM|coolant|specs_08.psv
HTR-PM|number_of_coolant_loops|specs_08.psv
HTR-PM|operating_pressure_bar|specs_08.psv
HTR-PM|enrichment_pct|specs_08.psv
HTR-PM|core_height_m|specs_08.psv
HTR-PM|core_diameter_m|specs_08.psv
HTR-PM|outlet_temperature_c|specs_08.psv
HTR-PM|inlet_temperature_c|specs_08.psv
HTR-PM|number_of_steam_generators|specs_08.psv
HTR-PM|fuel_assembly_type|specs_08.psv
HTR-PM|average_burnup_mwd_per_t|specs_08.psv
HTR-PM|number_of_turbines|specs_08.psv
HTR-PM|turbine_speed_rpm|specs_08.psv
HTR-PM|low_pressure_sections|specs_08.psv
BR-3|thermal_power_mwth|specs_09.psv
BR-3|fuel_type|specs_09.psv
BR-3|moderator|specs_09.psv
BR-3|coolant|specs_09.psv
BR-3|number_of_coolant_loops|specs_09.psv
BR-3|operating_pressure_bar|specs_09.psv
BR-3|enrichment_pct|specs_09.psv
BR-3|number_of_fuel_assemblies|specs_09.psv
BR-3|outlet_temperature_c|specs_09.psv
BR-3|inlet_temperature_c|specs_09.psv
BR-3|number_of_steam_generators|specs_09.psv
BR-3|average_burnup_mwd_per_t|specs_09.psv
BR-3|number_of_turbines|specs_09.psv
BR-3|turbine_speed_rpm|specs_09.psv
KNK|thermal_power_mwth|specs_09.psv
KNK|fuel_type|specs_09.psv
KNK|coolant|specs_09.psv
KNK|number_of_coolant_loops|specs_09.psv
KNK|outlet_temperature_c|specs_09.psv
KNK|inlet_temperature_c|specs_09.psv
KNK|number_of_steam_generators|specs_09.psv
KNK|number_of_turbines|specs_09.psv
KNK|turbine_speed_rpm|specs_09.psv
